QID,Label,Description
Q2717028,Ásatrúarfélagið,organization
Q2721139,Captaincy General of the Philippines,1565–1898 territory of the Spanish Empire in Asia
Q2722871,British Asian,ethnic and racial group
Q2722985,Union of the Socialist Left,
Q2723352,Sparapet,hereditary title of supreme commander of the armed forces in ancient and medieval Armenia
Q2723943,Patriotic Movement of Côte d'Ivoire,rebel group and political party in Ivory Coast
Q2723953,Christian Democratic Party,Political party in Argentina
Q2724491,United People's Freedom Alliance,Sri Lankan political coalition
Q2731720,Liberal Party,political party in Brazil founded in 2006
Q2745507,As-Sa'iqa,Palestinian political and military group and pro-syrian armed militia.
Q2746868,Abertzaleen Batasuna,
Q2749860,Kurdistan Democratic Party,political party
Q2750650,Coos people,
Q2752427,medical research,"research involving fundamental scientific principles that may apply to a preclinical understanding – to clinical research, which involves studies of people who may be subjects in clinical trials"
Q2776713,One Israel,"One Israel was a short-lived, one-man political party in Israel led by Yitzhak Yitzhaky."
Q2777958,,
Q2800373,silk weaver,weaver who works with silk
Q2802208,Canon maker,
Q2822458,Russian Presidential Academy of National Economy and Public Administration,"university in Moscow, Russia"
Q2822901,,
Q2823761,Actrices,Wikimedia disambiguation page
Q2826756,,
Q2827275,agregation of history and geography,
Q2827288,agrégation de lettres classiques,
Q2827803,,
Q2828960,Akbayan Citizens' Action Party,party-list of the Philippines
Q2836424,National Popular Alliance,
Q2837942,allergist,physician specially trained to manage and treat allergies
Q2838068,People's Alliance of New Brunswick,provincial political party
Q2838210,National Republican Alliance,Algerian political party
Q2838236,Alliance for Democracy and Development,Cameroonian political party
Q2838243,People's Alliance,Spanish political party
Q2840410,Alternatiba,
Q2841014,Liberal Alliance,Political party in Greece
Q2844254,French presidential election 1924,
Q2844818,Amerasian,term referring to an Asian-born individual with an American military father and an Asian mother
Q2845191,,
Q2849692,Anglo-Irish people,ethnic group in Ireland
Q2849999,Animal Alliance Environment Voters Party of Canada,Pro-animal rights political party in Canada
Q2859351,Arab Indonesians,Indonesian people of Arabian descent
Q2859684,International Arbiter,
Q2860259,marine architect,profession
Q2868011,,
Q2870769,audioprothesist,
Q2876991,,
Q2878265,Bachelor of Civil Law,degree in law
Q2883465,investment banker,occupation
Q2890644,Shlomtzion,Israeli political party
Q2891023,Gesher,Israeli political party (founded in 1996)
Q2896489,patent examiner,civil servant working in a patent office
Q2902739,Jewish Party,
Q2910260,Vizhnitz,
Q2910972,Military Prosecutor's office of the Russian Federation,
Q2912782,proconsul,governor of a province in the Roman republic
Q2914170,street artist,"artist performing in public places, for gratuities"
Q2915343,National List,political party in Israel
Q2916094,political cartoon,illustration used to comment on current events and personalities
Q2916163,Arab List for Bedouin and Villagers,
Q2918361,Ratnik,
Q2918858,SUMKA,
Q2918893,Groom of the Stool,English monarch courtier
Q2921021,Abadžija,tailors who made rustic style clothing for men using fine homespun wool
Q2922870,English boxing,combat sport
Q2928221,Nanga,school of Japanese painting
Q2932558,Chiefdoms of Hispaniola,Tainos tribes in Hispaniola
Q2935829,English Canadian,Canadian of English ethnic origin and heritage
Q2937178,Capacité en Droit,
Q2937507,Capitoul,"former municipal council of Toulouse, France"
Q2941659,Communist Party of India (Maoist),Proscribed Terrorist Organisation
Q2945998,,
Q2946461,Democratic Communist Circle,former French left-wing political group
Q2957753,,
Q2961411,slave hunter,
Q2961574,delivery driver,person whose occupation is delivering items
Q2961972,production sound mixer,member of a film crew or television crew responsible for recording all sound recording on set during the filmmaking or television production
Q2962006,Battalion Chief,
Q2962033,publicity director,person charged with directing publicity campaigns
Q2962070,production designer,person responsible for the overall look of a filmed event
Q2963953,chiropractor,licensed health-care professional who treats disorders (such as back and neck pain) chiefly of the musculoskeletal system especially through the manual adjustment or manipulation of the spinal vertebrae to correct nervous system dysfunction
Q2978753,Clear Grits,Upper Canadian political party
Q2982634,,
Q2984556,Azerbaijani Land Force,
Q2986308,Commissaire de police,police commissioner in France
Q2990822,governmental accounting,"concept in accounting, concerning public sector financial activity"
Q2993098,Marshal of Nobility,
Q2994387,advisor,person with more and deeper knowledge in a specific area
Q2994439,library curator,profession
Q2994440,heritage curator,
Q2996109,2010 Dutch municipal elections,
Q2996391,Convergence for Social Democracy,Opposition party of Equatorial Guinea
Q2997993,Bessarabian Bulgarians,
Q2998024,,
Q3007620,curator,civil servant position in Ancient Rome tasked with maintaining various public works
Q3008497,Vassak Mamikonian,Armenian sparapet for King Arsaces II
Q3013827,Hellenic State,1941-1944 client state of the Axis Powers
Q3026777,Idi probak,
Q3027499,Save Bessarabia Union,
Q3029050,Diploma in Nursing,
Q3029096,diplôme des métiers d'art,graduate degree in art or craft professions in France
Q3029112,,
Q3029423,director of redaction,
Q3033568,Doctor of Juridical Science,academic degree
Q3037090,Vertiente Artiguista,Political party in Uruguay. Part of the Broad Front (Frente Amplio) coalition of the Left.
Q3038357,oldest person of France,Wikimedia list article
Q3041595,Iraqi Republic (1958–68),state forged in 1958 in Iraq and ended in 1968
Q3042701,1918 United Kingdom general election,
Q3045484,,
Q3048772,Parti Gerakan Rakyat Malaysia,Perikatan Nasional-friendly political party in Malaysia
Q3062119,farm operator,
Q3064795,Union populaire pour la libération de la Guadeloupe,
Q3066234,Family Compact,organization
Q3067136,Jurnal TV,TV channel in Moldova
Q3073267,Democratic Party,political party in Cambodia
Q3076606,1906 United Kingdom general election,General election held in 1906 in the United Kingdom
Q3078593,Tamil nationalism,
Q3079893,,
Q3082343,Franco-American,Wikimedia disambiguation page
Q3083781,Occident,French far-right militant political group
Q3084294,1923 United Kingdom general election,election
Q3085704,2012 Indian presidential election,Election
Q3087061,Ensemble pour la république,secrétaire national
Q3088445,Action Front for Renewal and Development,political party in Benin
Q3088501,Frente Amplio,Wikimedia disambiguation page
Q3088954,Social Democratic Party,political party in Benin
Q3088976,Movimiento Nacional,nationalist inspired mechanism during Francoist rule in Spain
Q3091641,Walwari,political party
Q3094841,Welsh American,ethnic group
Q3100519,Generalleutnant,general officer rank in the German and Austrian armed forces
Q3100877,,
Q3115636,publicity graphist,graphic designer
Q3120790,Gumbaynggirr,"Australian Aboriginal group who traditionally lived in the area contiguous with Coffs Harbour, NSW"
Q3125190,HSLS,Wikimedia disambiguation page
Q3127709,harpist,musician who plays the harp
Q3133165,Workers' Party of Spain – Communist Unity,
Q3136634,Organización Revolucionaria de los Trabajadores,Defunct communist party in Spain
Q3140857,horticulturist,"person who works and conducts research in the science and art of growing flowers, fruits, vegetables or ornamental plants"
Q3144914,hematologist,physician with medical specialty hematology
Q3151032,research associate,job
Q3151610,,
Q3151616,,
Q3152165,Institute of Advanced Studies for Science and Technology,"research and educational institution in Paris, France"
Q3153026,intendant,administrative office in the French provinces during the ancient régime
Q3153031,Intendant des finances,
Q3177118,Mormons,adherents of the Latter-day Saint movement; religious identity
Q3178518,vedette,"female entertainer with multiple talents for singing, dancing, or acting"
Q3179540,Joaldun,"pointed hat in carnival of the Basque Country, mainly related with joaldunak Ituren and Zubieta"
Q3186699,Go professional,professional player of the game of Go
Q3186982,Journalist,Wikimedia disambiguation page
Q3194398,,
Q3201017,Kyōka,Japanese poetry form
Q3208383,La Droite libre,French liberal-conservative faction within the UMP founded by Rachid Kaci and Alexandre del Valle
Q3237618,wardrobe stylist,someone who selects the clothing for publications or public appearances
Q3238005,Laurier Liberals,
Q3239800,indigenous,adjective
Q3240311,,
Q3240324,Civic Action League,
Q3240326,League of Nationalist Action,
Q3249424,Portal:Spain,Wikimedia portal
Q3257896,three-cushion billiards,discipline of carom billiards
Q3262402,cloistered nun,woman who lives in a monastery that is closed to the outside world
Q3264451,cardiologist,physician who specializes in cardiology
Q3273726,,
Q3286047,child model,underage photo- and fashion-models
Q3289301,2009 Honduran general election,
Q3300127,Lebanese Brazilian,ethnic group; part of the Lebanese diaspora living in Brazil
Q3303288,,
Q3303297,ironmaster,manager/owner of a forge or blast furnace
Q3303313,verderer,officials who administer the local laws of certain forests
Q3309308,Primitive Methodist Church,
Q3311406,Fantasma,album by Cornelius
Q3313713,Galician Unity,
Q3315525,Taifa of Majorca,
Q3321385,Yeke Kingdom,"former kingdom of the Garanganze people in Katanga, DR Congo"
Q3322584,Republican Left of the Valencian Country,
Q3322957,Constitutional Party,19th century political party in Spain
Q3326414,Popular Liberation Front,
Q3326534,Congolese Movement for Democracy and Integral Development,political party in the Republic of the Congo
Q3326601,Movement for the Liberation of the Central African People,political party in the Central African Republic
Q3326623,Movement of the Forces of the Future,political party in Ivory Coast
Q3326636,Democratic Patriots' Unified Party,Tunisian political party
Q3326675,Democratic Republican Movement,Rwandan political party
Q3326688,gremialismo,"current of social, political and economic thought"
Q3326718,Nationalist Republican Liberal Movement,Panamanian political party
Q3326949,,
Q3327447,United Left,
Q3327807,Partido Demócrata Posibilista,
Q3327928,Anova-Nationalist Brotherhood,
Q3328279,Valencian Nationalist Left,
Q3328621,Partido Regionalista Extremeño,political party of Extremadura
Q3330348,Partit Radical Demòcrata,
Q3332431,physician in France,doctor working in France
Q3343734,élève d'une École normale supérieure,
Q3345049,New Democratic Party of Quebec,
Q3346380,Kachin people,Uppermost Dwellers of Birmania
Q3349703,police officer,member of the French police force that is an officer at rank higher than agent
Q3354615,,
Q3358699,Liberal Opening Movement,political party in Colombia
Q3360017,Pacahuara,
Q3363711,paratriathlon,
Q3366144,Democratic Way,political party in Morocco
Q3366150,Manitoba Social Credit Party,
Q3366159,Solidarity Party,political party in Lebanon
Q3366170,Wildrose Party,"defunct political party in Alberta, Canada"
Q3366183,,
Q3366221,Haitian Communist Party,
Q3366230,Communist Workers' Party of the Netherlands,political party
Q3366252,Conservative People's Party,Polish political party
Q3366271,Alberta Party,regional political party in Canada
Q3366334,Party of Renaissance and Virtue,political party in Morocco
Q3366365,,
Q3366376,Party of Democratic Kampuchea,former political party in Cambodia
Q3366380,Centre Party,"centrist, moderately conservative political party in Poland"
Q3366416,Christian Democratic Party,political party in Brazil
Q3366458,French Party,political party
Q3366481,Libertarian Party of Canada,political party of Canada
Q3366483,Liberal Party,former political party of Australia
Q3366559,Nepal Pariwar Dal,
Q3366562,,
Q3366576,Jewish Socialist Workers Party,
Q3366577,Pan-Iranist Party,pan- party
Q3366632,Progressive Conservative Party of New Brunswick,"political party in New Brunswick, Canada"
Q3366635,Progressive Canadian Party,party made up of former members of the Progressive Conservative party
Q3366675,Republican Party,Tunisian political party
Q3366713,Social Democratic Party,French political party
Q3366737,Socialist-Communist Union,
Q3366768,Popular Socialist Party,
Q3366815,Green Party of Ontario,Canadian political party in Ontario
Q3366818,BC Green Party,political party
Q3367205,Árja,Norwegian Sami political party
Q3368548,Vigrid,Norwegian far right organization
Q3374326,muralist,artist whose work consists primarily of painting murals
Q3391743,visual artist,artist involved with the visual arts
Q3396098,Fire services in France,
Q3400050,potter,someone who makes pottery
Q3406651,radio producer,person who supervises the production of a radio show
Q3406833,,
Q3410028,psychoanalyst,psychiatrist or psychotherapist who specializes in psychoanalysis
Q3410113,,
Q3412220,,
Q3414825,Québec,federal electoral district of Canada
Q3419806,bullfighter,
Q3419887,Rally of Democrats,political party in Gabon
Q3425795,Republican Rally for Democracy in Rwanda,unregistered political party in Rwanda
Q3436293,,
Q3444680,California Institute of Integral Studies,
Q3457812,French resistance,"set of French people organised to fight against the Nazis, inside and ouside of France"
Q3458343,Revolution!,A radikal left wing group in France
Q3462133,duchy of Saxe-Coburg and Gotha,collective name for the duchies of Saxe-Coburg and Saxe-Gotha in Germany
Q3463962,Democratic Convergence Party – Reflection Group,political party in São Tomé and Príncipe
Q3474380,Sauveteur,Wikimedia disambiguation page
Q3474642,Sawa people,
Q3476281,volapükologist,person whose scientific interest is Volapük or who learns the language as a hobby
Q3479779,cryptanalyst,an expert in analyzing and breaking codes and ciphers.
Q3479813,,
Q3480165,Allsherjargoði,
Q3484354,Enlightenment in Western secular tradition,Wikimedia disambiguation page
Q3486937,medic,umbrella term for a person involved in medicine
Q3489444,Solidarité Française,French political party
Q3489714,Soletanche Bachy,
Q3490138,Federation of The Greens–Green Left,
Q3491980,,
Q3492667,Youth Organisation Freedom and Democracy,youth wing of a political organization in the Netherlands
Q3501932,Armenians in Cyprus,
Q3509774,Tamyen people,Native American people of the Santa Clara Valley in Northern California
Q3511905,First Nigerian Republic,Governance in Nigeria
Q3520262,Ezhava,Indian ethnic group
Q3526627,member of a Legislative Assembly of India,member of a state government of India
Q3532192,1980 Indian general election,general election in India
Q3534711,Up-Country People's Front,
Q3541154,Trung Nguyên,Vietnamese coffee production and distribution company
Q3542795,oenologist,oenology expert
Q3550126,,
Q3550463,Lorrain Republican Union,
Q3552548,Ushaw College,"constituent college of the University of Durham, UK"
Q3558174,,
Q3560496,fiddler,musician who plays folkloristic music on a fiddle or violin
Q3562775,thief,person who has carries out thefts
Q3567209,Union of Centrists,Greek political party
Q3580097,,
Q3580136,Jewish education,
Q3586426,2003 Quebec general election,
Q3586518,1991 Cape Verdean presidential election,
Q3586519,1996 Cape Verdean presidential election,
Q3586521,1934 Colombian presidential election,
Q3586524,1946 Colombian presidential election,
Q3586533,,
Q3586610,,
Q3586625,2013 Malian presidential election,
Q3586877,1914 Australian federal election,Australian federal election
Q3586890,1946 Australian federal election,
Q3586891,1949 Australian federal election,
Q3586897,1963 Australian federal election,
Q3586898,1966 Australian federal election,
Q3586901,1980 Australian federal election,
Q3587168,2012 Hong Kong legislative election,
Q3587392,1987 Madrilenian regional election,
Q3587394,1995 Madrilenian regional election,
Q3587550,French senate elections of 1986,
Q3589290,correspondent,author of letters
Q3591874,Panama State,
Q3591895,Savoyard state,collective term for states ruled by the Duke of Savoy
Q3592927,,Wikimedia disambiguation page
Q3594060,Chairman of the Board,head of a company or a group
Q3595130,Bharatiya Lok Dal,political party in India
Q3614727,"Associate in Music, Australia",Diploma awarded by the Australian Music Examinations Board
Q3622181,Tonadilla,a Spanish popular music genre
Q3624762,Wied-Neuwied,German state in the 18th century
Q3633758,Lokpal,Sort of ombudsman in Indian environment
Q3634439,Banu Abd-Shams,sub-tribe of the Quraysh tribe
Q3640160,marine biologist,scientist specialising in marine biology
Q3651346,Christian-Democratic Movement,
Q3664326,Pirate Party,type of political party
Q3665601,,
Q3665646,basketball player,sportsperson taking part in basketball competitions
Q3678758,Daisy Civic List,political party in Italy
Q3684723,prefectural commissioner,
Q3690757,Kerala Congress (M),political party in India
Q3692809,Belarusian Independence Party,
Q3720051,Soviet Union national under-16 football team,national football team
Q3722096,1948 Italian presidential election,
Q3722236,1987 European Parliament election in Spain,election results in Spain
Q3722280,1951 United Kingdom general election,
Q3722534,2002 Brazilian general election,
Q3722544,1952 Chilean presidential election,
Q3722548,1993 Chilean presidential election,
Q3723502,Hellenes,
Q3743777,telmatology,branch of physical geography concerned with the study of wetlands
Q3751846,Humanist Party,Political party in Spain
Q3752937,Freelance model,
Q3753649,,
Q3753651,Republican Progressive Democratic Front,
Q3758032,All India Ganatantra Parishad,Indian political party
Q3777040,Andalusian people,People from Andalusia
Q3778055,Minister–Secretary of State for Finland,
Q3781719,Samata Party,Political party of India
Q3782309,Catalan Workers' Left,
Q3804286,Italiana,1982 studio album by Mina
Q3804351,Italian Egyptians,
Q3809586,Wikimedian in Residence,professional role in Wikimedia development
Q3827065,Socialist Party of Labour,Romanian political party
Q3827586,Banu Hanifa,arabian tribe
Q3851558,Master-General of the Ordnance,"former, very senior British military position"
Q3854262,,
Q3866611,,
Q3877750,We Sammarinese,political party in San Marino
Q3880442,Oba,"honorific of kings of Benin, Nigeria and Togo"
Q3896689,Agrarian Party,
Q3896740,Democratic Party of the Republika Srpska,
Q3896758,Madkhalism,Followers of Saudi scholar Rabi al-Madkhali
Q3896773,Democratic Liberal Party,defunct political party in Italy
Q3896802,Vanguard Unionist Progressive Party,political party in Northern Ireland
Q3909815,praefectus fabrum,
Q3915375,2013 Australian federal election,election held on 7 September 2013
Q3920204,1996 Transnistrian presidential election,
Q3922463,,
Q3922583,health profession,type of profession
Q3925271,Pubblico ministero,
Q3931958,United Regions of Serbia,former Serbian political coalition and party
Q3940842,Romics,
Q3943728,1852 United Kingdom general election,
Q3987421,2003 Serbian presidential election,
Q4001893,UFC Light Heavyweight Championship,
Q4026915,Party for Socialism and Liberation,Communist and Marxist-Leninist political party in the United States
Q4065203,English Australian,ethnic group
Q4096426,,Wikimedia disambiguation page
Q4102266,,
Q4107285,venture business,
Q4115389,Israeli Druze,Druze religious people in Israel
Q4115925,Sultan of Egypt,
Q4118436,Community health agent,
Q4120990,Indian South Africans,Citizens and residents of South Africa of Indian and South Asian descent
Q4127627,Opposition Platform — For Life,Ukrainian political party
Q4129937,sexton,church or synagogue officer charged with the maintenance of the church buildings and/or the surrounding graveyard
Q4139102,Head of municipality,
Q4151359,,
Q4156320,Debut,literary award
Q4156810,yardmaster,occupation at a railroad
Q4157646,Naghyz Ak Zhol,
Q4157651,Democratic Party of Ukraine,
Q4165151,dolly grip,cinematography technician who operates the camera dolly
Q4175034,legislator,member of a legislature
Q4180175,legal practice,
Q4182949,head of laboratory,
Q4188026,Merited Test Pilot of the USSR,
Q4189398,pasindhèn,female solo singer who sings with a gamelan
Q4192525,,
Q4197743,player,person who plays a game
Q4200883,Hinduism in Singapore,
Q4201464,Institute of Geography of the Russian Academy of Sciences,"research institute in Moscow, Russia"
Q4203136,,
Q4204829,history of the Jews in Prague,aspect of history
Q4212320,,
Q4212494,Kankanaey people,a people in the Philippines
Q4212962,,
Q4224856,,
Q4229890,Communist Party of Australia (Marxist–Leninist),Australian political party
Q4229913,Communist Party of Turkestan,political party
Q4248951,2013 Trinidad and Tobago presidential election,
Q4248959,Qurultay of the Crimean Tatar People,
Q4253937,United Democrats of Hong Kong,political party in Hong Kong
Q4260703,railway engineering,study of engineering principles necessary for railway construction and operation
Q4261536,Indonesian National Party Marhaenism,political party in Indonesia
Q4285735,Makhmalbaf,family name
Q4304886,,person mending motors (not driver)
Q4305841,1959 Cypriot presidential election,1st election of President of Cyprus Republic
Q4309243,,
Q4313270,,
Q4314935,National Union,
Q4335761,,
Q4339596,Open Russia,organization
Q4345985,Party of Law and Justice,political party from Moldova
Q4346008,United States Independence Party,former U.S. political party
Q4346015,,
Q4351981,Dutch Reformed Church in South Africa,
Q4353023,Zionist Socialist Workers Party,Russian party
Q4376797,1938 Irish presidential election,
Q4376801,1976 Irish presidential election,uncontested election for President of Ireland
Q4377253,,
Q4379628,expert pharmacist,specialized pharmacy occupation in Russia
Q4387218,Rajasthani people,The native inhabitants of Rajasthan region of India.
Q4391922,,
Q4392650,Inner Mongolian People's Revolutionary Party,revolutionnary mongolian party created in inner-Mongolia in 1925 and merged with CCP in 1947.
Q4392767,Unified Lithuanian National Workers Movement,
Q4393619,Republican Party (Belarus),
Q4396974,Rolf,Russian group of companies; large automotive dealer and vehicle importer
Q4397945,Russian Academy of Agricultural Sciences,Russian research funding organization
Q4398236,Russian Democratic Reform Movement,
Q4414015,real estate management,Profession
Q4415027,Peasant Party of Ukraine,
Q4423096,"Slavianski sabor ""Bielaja Ruś""",political party in Belarus (1992-1999)
Q4423134,Democratic Party,political party in South Korea (1991–1995)
Q4430206,Socialist Party,former Indonesian political party
Q4450522,1944 United States House of Representatives elections,House elections for the 79th U.S. Congress
Q4470410,Ukrainets,"village in Bratske Raion (district), Mykolaiv Oblast (province), Ukraine"
Q4470504,,
Q4470515,,
Q4495549,Hanshi,martial arts rank
Q4504285,Central Bank of Uruguay,The central bank of the Uruguay
Q4504549,religious,member of a religious community
Q4506560,Chaban,"village in Ovruch Raion, Zhytomyr Oblast, Ukraine"
Q4516937,,
Q4565946,National Socialist Party,UK political party
Q4570729,European Workers Party,
Q4582125,prescriptionist,
Q4589354,Rastriya Janamorcha,political party
Q4620959,2011 Hong Kong Election Committee Subsector elections,
Q4637681,2014 Quebec general election,
Q4667873,prisoner of conscience,"anyone imprisoned for their demographics, beliefs, or the nonviolent expression thereof"
Q4671704,Marsiya,elegiac poem
Q4672493,Accessibility without Exclusion,disability rights political party in Costa Rica
Q4672747,account executive,
Q4676846,acting,legal term referring to a person temporarily holding a position of office
Q4677709,actor-manager,leading actor who sets up their own permanent theatrical company and manages the company's business
Q4688014,aerial observer,functional position of gathering information visually from an airborne platform
Q4693765,Agrarian and Countryside Party,
Q4696968,aikidoka,"practicioner of aikido, a martial art"
Q4698344,Air officer,
Q4698345,air observer,flight crew responsible for ground reconnaissance and spotting other aircraft
Q4705236,Alabama Democratic Party,Affiliate of the Democratic Party in Alabama
Q4705309,Alabama Republican Party,Alabama affiliate of the Republican Party
Q4707807,Krastyo Sarafov National Academy for Theatre and Film Arts,Bulgarian theatre and film academy
Q4708523,Alaska Democratic Party,major political party in the U.S. state of Alaska
Q4713742,Hmong American,ethnic group in the United States
Q4728658,All Ceylon Makkal Congress,
Q4729052,All Liberia Coalition Party,political party in Liberia
Q4741192,Ambedkar Samaj Party,political party in India
Q4748888,Statsforvalter,County governor (Norway)
Q4753543,2004 Andalusian regional election,
Q4764830,Animal Justice Party,political party in Australia
Q4765863,2008 Anjouan presidential election,
Q4774151,Anti-Communist Hero,title given by the government of the Republic of China
Q4780027,Apna Dal,political party in India
Q4787044,architectural designer,person that is involved in the design of buildings or urban landscapes
Q4789451,September 1973 Argentine general election,
Q4789496,Argentines of European descent,
Q4801269,artistic director (music),person who directs a musical ensemble
Q4806537,Asian,Wikimedia disambiguation page
Q4808679,Assembly for the Sovereignty of the Peoples,
Q4809970,Association of Philippine Electric Cooperatives,party-list in the Philippines
Q4824124,Australian Family Movement,
Q4825521,1963 Austrian presidential election,
Q4826780,Autonomist Association,Austrian political party
Q4826786,Autonomous Agrarian Union,
Q4827705,Avanti,historical country in India
Q4828633,aviation electronics technician,US Navy enlisted rating or job specialty
Q4832439,2003 Azerbaijani presidential election,
Q4842923,Bahujan Kisan Dal,political party in India
Q4845479,grand couturier,fashion designer who is a member of the French Chambre syndicale de la haute couture
Q4857281,Banu 'Amir,Wikimedia list article
Q4858580,Barbadians,citizens or residents of Barbados
Q4868970,1929 Bath by-election,
Q4887122,,
Q4887673,Bengali American,"Americans of Bengali ethnic, cultural and linguistic heritage and identity"
Q4894679,"Catalonian parliamentary election, 1988",
Q4894870,Communist Party of Nepal (Masal),Nepalese political party founded in 1999
Q4895965,1923 Berwick-upon-Tweed by-election,
Q4914736,biocurator,"scientist who curates, collects, annotates, and validates information that is disseminated by biological and model organism databases"
Q4916718,2004 Birmingham Hodge Hill by-election,
Q4917824,Bishop of Dorchester,area bishop in the Church of England
Q4919247,Pracheachon,
Q4919917,Thai Social Democratic Party,political party in Thailand
Q4922295,Black church,Protestant churches that currently or historically have ministered to predominantly black congregations in the United States
Q4925703,Pan-Malaysian Islamic Front,Malaysian political party
Q4939664,1947 Bolivian general election,
Q4954752,1994 Bradford South by-election,UK Parliamentary by-election
Q4958878,nobility of Brazil,"titled aristocrats and fidalgo families recognized by the Kingdom of Brazil and later, by the Empire of Brazil"
Q4975735,Brothertown Indians,
Q4978826,Brun-Ly,political party in Madagascar
Q4988934,Logothetes tou dromou,
Q4989952,,
Q4997542,Bundjalung,Wikimedia disambiguation page
Q4999345,Burma Socialist Party,Burmese political party (1945-1964)
Q5000587,bursar,professional financial administrator in a school or university
Q5016919,1945 Caernarvon Boroughs by-election,
Q5028199,Campbellite,
Q5031907,Candidatus realium,
Q5038515,1921 Cardiganshire by-election,British special election
Q5060285,1993 Central African general election,
Q5060292,1964 Central African presidential election,
Q5060294,1999 Central African presidential election,
Q5060555,farmworker,hired agricultural worker on a farm that works for the farmowners
Q5068454,Chakán Putum,
Q5071186,Socialist Janata (Democratic),political party in India
Q5086923,chartist,kind of trader
Q5096910,Chief Scout Executive,top professional (Boy Scouts of America)
Q5098820,1876 Chilean presidential election,
Q5101648,1962 Chippenham by-election,UK Parliamentary by-election
Q5109944,Christian Movement for a New Haiti,
Q5116920,Church of Jesus Christ in Madagascar,
Q5123140,City Country Alliance,former Australian political party
Q5147980,chilena,Wikimedia disambiguation page
Q5152228,Commandment Keepers,Sect of Black Hebrews
Q5152616,commissary,someone delegated by a superior to execute a duty or an office
Q5152905,Commitment to Change,Argentine political party
Q5153803,Commonwealth Land Party,United Kingdom political party
Q5154339,Communist Party of Bolivia (Marxist-Leninist),political party
Q5154436,Communist Party of Peru – Red Fatherland,Peruvian political party
Q5154462,Communist Party of Ukraine (renewed),political party split from the Communist Party of Ukraine in 2000
Q5158454,Concern for the Nation Functional Party,
Q5160547,Congolese Progressive Party,First Congolese potical party
Q5163323,Consolidation of Labor Laws,decree which governs labor relations in Brazil
Q5164591,consultant,title of a senior hospital-based physician or surgeon
Q5166261,Convention of Atlantic Baptist Churches,
Q5171804,Cornish Australian,Australians of Cornish heritage
Q5172464,Corporate housing,"Fully furnished lodging, typically for stays of 30 days or more."
Q5179781,cattle rancher,person who works specifically with cattle
Q5187093,Croatian Australian,
Q5187097,Croatian Canadians,Canadians of Croatian descent
Q5201837,2012 Czech regional elections,
Q5219816,Danish Unity,political party
Q5225505,Dars-i Nizami,a traditional curriculum in Islamic institutions
Q5225894,1943 Darwen by-election,
Q5248152,Democratic Indira Congress (Karunakaran),Indian political party
Q5255530,Democrat Party,Peruvian political party
Q5255537,Democratic Action Congress,
Q5255654,Democratic Movement of Kyrgyzstan,
Q5255720,Democratic Party of New Mexico,"political organization in New Mexico, U.S."
Q5255838,Democratic Unification Party,Honduran left-wing political party
Q5256144,Demokrasia Makini,
Q5260571,departmental secretary,Leading public servant of a government department in Australia
Q5275260,Diffa Arabs,"Arab nomadic tribespeople living in eastern Niger, mostly in the Diffa Region"
Q5276590,Dikwankwetla Party of South Africa,Political party in South Africa
Q5279880,Diploma in Legal Practice,
Q5282951,Distiller,Wikimedia disambiguation page
Q5283277,District Administration,
Q5283295,administration,management of organization
Q5287495,Doctor of Architecture,academic title in architecture
Q5287523,Doctor of Physical Therapy,
Q5287524,Doctor of Professional Studies,doctoral degree for experienced professionals
Q5290725,Dominican American,ethnic group;  Americans who trace their ancestry to the Dominican Republic
Q5312017,1994 Dudley West by-election,
Q5333394,Economic Liberalism and Democratic Action for National Recovery,political party in Madagascar
Q5334374,2007 Ecuadorian Constituent Assembly election,
Q5338189,1945 Edinburgh East by-election,
Q5341297,educational psychologist,
Q5354994,Electoral Front United People,was an electoral front headed by the Portuguese Communist Party in 1976
Q5358467,French Argentine,ethnic group
Q5363828,1984 Elizabeth state by-election,South Australian by-election
Q5377322,1984 Enfield Southgate by-election,
Q5381043,Environment artist,
Q5384297,Equestrian,Wikimedia disambiguation page
Q5401616,Estonian Pirate Party,
Q5403434,ethicist,moral principle analyst
Q5408188,Somali American,Americans of Somali birth or descent
Q5417232,Green Party of Alberta,political party
Q5433078,Family Coalition Party of British Columbia,
Q5440823,Federation of Hong Kong and Kowloon Labour Unions,organization
Q5447928,Fighting Solidarity,
Q5448596,Filipino Japanese,Wikimedia disambiguation page
Q5450861,1950 Finnish presidential election,
Q5450862,1962 Finnish presidential election,
Q5466448,Footballer,painting by Sidney Nolan
Q5473101,Forum for Democratic Change,Center-rigth political party in South Africa
Q5481527,,
Q5493795,,
Q5494351,,
Q5499799,Free Democrats (Norway),organization
Q5499953,Free Presbyterian Church of North America,
Q5500299,Free silver,"economic policy issue in the United states from April 1, 1873 to December 23, 1913"
Q5500594,Freedom Party of Afghanistan,
Q5518731,2016 South Korean legislative election,
Q5555481,Ghanaians in the United Kingdom,
Q5560438,Ciudadanos,Wikimedia disambiguation page
Q5583940,1971 Goole by-election,UK Parliamentary by-election
Q5588495,Gouverneur,Wikimedia disambiguation page
Q5599626,Great Nigeria People's Party,
Q5601893,Greek Socialist Party,
Q5604569,,Wikimedia disambiguation page
Q5607404,Grenadians,citizens or residents of Grenada
Q5637247,hacker,"person who modifies software or hardware of technical equipment, mainly their own private computer system, out of personal interest"
